Vragen vanuit bestaande klant software gerelateerd;Antwoorden/oplossingen;Moeilijkheid (beantwoorden) (0=niet, 1=wel);Hoe beantwoorden/ informatiedrager;Voorkombaar
Waarom doet het recenteren in de game het niet goed?;Het kan zijn dat de meta knop niet goed of niet lang genoeg wordt ingedrukt. Daarnaast verschilt het per game waar deze begint en waar deze dan opnieuw wordt geplaatst. Let ook op dat de hoogte van het spel bij het starten van de game wordt vastgezet. Als het probleem hem in het neerzetten van de game zit, kan het ook een goede oplossing zijn om de spellen op te starten waar je weet dat er voldoende ruimte is. Kijk de recenter video om te leren de meta knop te gebruiken;0;Training, Handleiding, Telefonisch, Mail, Video's, Chatbot, Cursus, E-learning, Forum;Ja, door goede training en voorlichting kan deze vraag verholpen worden
;re-centeren meta (dec2025).mp4;;;
De game wordt na het recenteren niet goed neergezet, wat kan ik hier beter doen?;Het verschilt het per game waar deze begint en waar deze dan opnieuw wordt geplaatst. Let ook op dat de hoogte van het spel bij het starten van de game wordt vastgezet. Als het probleem hem in het neerzetten van de game zit, kan het ook een goede oplossing zijn om de spellen op te starten waar je weet dat er voldoende ruimte is. Kijk de recenter video om te leren de meta knop te gebruiken of eventueel naar de een handleiding met de afmetingen;0;Training, Handleiding, Telefonisch, Mail, Video's, Chatbot, Cursus, E-learning, Infographic, Forum;Ja, door goede training en voorlichting kan deze vraag verholpen worden
;;;;
Hoeveel ruimte heb je nodig?;De afmetingen per game staan aangegeven in een bestand de grootste maximale afmeting is 7x7 en de minimale afmeting om alles te kunnen spelen is 3x3;0;Training, Handleiding, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Infographic, Forum;Ja, door de informatie eerder te geven
;Oppervlakten_HM_apps.pdf;;;
Wat zijn de ruimte afmetingen die per game nodig zijn?;De games hebben verschillende hoeveelheid ruimte nodig zijn te vinden in een document;0;Training, Handleiding, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Infographic, Forum;Ja, door de informatie eerder te geven
;Oppervlakten_HM_apps.pdf;;;
Waar beginnen de games als je ze opstart, voor je of om je heen?;De start van de games verschillen, bij de ene start alles voor je en bij de andere begint de speler in het midden;0;Training, Handleiding, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Infographic, Forum;Ja, hiervoor kan een plattegrond gemaakt worden waar deze informatie in staat
;;;;
Waarom spawnen er bij tafelbal voorwerpen soms in het gezicht?;Bij TableBall kunnen voorwerpen op een wolkje spawnen, de hoogte van de tafel bepaald hoe hoog deze op de tabel beginnen en kunnen dus ook op oog hoogte in het spel komen. Een oplossing is om de stoel hoger te zetten of iets verder van de tafel te zitten.;0;Training, Handleiding, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door de juiste manier van tableball spelen uit te leggen
;;;;
Waarom klopt de hoogte van stepinstore niet?;De hoogte van de games worden vastgelegd tijdens het op starten van de games. Het is dus belangrijk dat deze gelijk blijft tijdens het spelen. Als je de bril overgeeft aan een client is het belangrijk dat de client op de start knop klikt;0;Training, Handleiding, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door de informatie eerder te geven
;;;;
Ik kan bij step in store niet de onderste producten hoe kan dit?;De hoogte van de games worden vastgelegd tijdens het op starten van de games. Het is dus belangrijk dat deze gelijk blijft tijdens het spelen. Als je de bril overgeeft aan een client is het belangrijk dat de client op de start knop klikt;0;Training, Handleiding, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door de informatie eerder te geven
;;;;
Speelveld verschiet als ik de bril aan mijn client geef hoe zorg ik dat het gelijk blijft?;De hoogte van de games en de plek worden vastgelegd tijdens het op starten van de games. Het is dus belangrijk dat deze gelijk blijft tijdens het spelen. Als je de bril overgeeft aan een client is het belangrijk dat de client op de start knop klikt;0;Training, Handleiding, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door de informatie eerder te geven
;;;;
